city	country	lat	lon	PM25
Hohhot	China	40.842585	111.749181	43
Berhampur	India	19.314962	84.794091	43
Sangli	India	16.852397	74.581477	43
PSZCZYNA	Poland	49.98578	18.947709	43
Jiangmen	China	22.579117	113.081508	43
Aurangabad	India	19.876165	75.343314	43
Parwanoo	India	30.837164	76.961426	43
GUMUSHANE	Turkey	40.460825	39.480321	42
Nagaon	India	26.346371	92.684043	42
Nalgonda	India	17.057571	79.262029	42
Kathar	Myanmar	24.182119	96.330583	42
Dimitrovgad	Bulgaria	42.054505	25.594525	42
TEKIRDAG	Turkey	40.978092	27.511674	42
USAK	Turkey	38.674229	29.405882	42
Datong	China	40.076763	113.300129	42
DIYARBAKIR	Turkey	37.924973	40.210983	42
Varamin	Iran	35.325241	51.647199	42
San Salvador	El Salvador	13.69294	-89.218191	42
Qingyuan	China	23.681764	113.056031	42
MALATYA	Turkey	38.355363	38.333525	42
Pljevlja	Montenegro	43.358237	19.351259	42
Hidd	Bahrain	26.215901	50.668999	41
Shizuishan	China	38.983236	106.383304	41
AKSARAY	Turkey	38.368626	34.0297	41
La Estrella	Colombia	6.138751	-75.635586	41
Sanandaj	Iran	35.321875	46.986165	41
Guatemala	Guatemala	14.634915	-90.506882	41
KIRIKKALE	Turkey	39.839784	33.508878	41
Johannesburg	South Africa	-26.204103	28.047305	41
BITOLA	The former Yugoslav Republic of Macedonia	41.029677	21.329216	40
Trichy	India	10.790483	78.704673	40
Yingkou	China	40.667012	122.235418	40
Guntur	India	16.306652	80.43654	40
Umuahia	Nigeria	5.524953	7.492241	40
Chifeng	China	42.257817	118.886856	40
Heyuan	China	23.743686	114.700961	40
Jiujiang	China	29.705077	116.00193	40
Devanagere	India	14.466344	75.92384	40
VAN	Turkey	38.501208	43.372979	40
Beihai	China	21.481291	109.120161	40
Kurnool	India	15.828126	78.037279	40
RYBNIK	Poland	50.102174	18.546285	40
Tabriz	Iran	38.096239	46.273801	40
Jieyang	China	23.549993	116.372831	40
BAYBURT	Turkey	40.26032	40.228048	39
WODZISLAW SLASKI	Poland	50.003137	18.47191	39
OPOCZNO	Poland	51.375338	20.278763	39
KONYA	Turkey	37.874643	32.493155	39
SUCHA BESKIDZKA	Poland	49.74127	19.58636	39
Thane	India	19.218331	72.97809	39
GODOW	Poland	49.924546	18.477893	38
Dolny Voden	Bulgaria	42.023184	24.836737	38
Tunis	Tunisia	36.806495	10.181532	38
Rongcheng	China	37.16516	122.486658	38
Shantou	China	23.354091	116.681972	38
Zhongshan	China	22.516999	113.392725	38
Rizhao	China	35.416734	119.526925	38
Kochi	India	9.931233	76.267304	38
MONTANA	Bulgaria	43.408516	23.225729	37
Urmia	Iran	37.549806	45.078628	37
KRAKOW	Poland	50.06465	19.94498	37
Shahryar	Iran	#N/A	#N/A	37
ARDAHAN	Turkey	41.11295	42.70228	37
Sari	Iran	36.565873	53.058633	37
Rajshahi	Bangladesh	24.363589	88.624135	37
Antanarivo	Madagascar	-18.87919	47.507905	37
Sfax	Tunisia	34.747847	10.766163	37
SKAWINA	Poland	49.975181	19.828875	37
BARTIN	Turkey	41.637602	32.333811	37
Varna	Bulgaria	43.21405	27.914733	36
Coimbatore	India	11.016844	76.955832	36
Cuttack	India	20.462521	85.88299	36
Monterrey	Mexico	25.686614	-100.316113	36
Amman	Jordan	31.956578	35.945695	36
Xiamen	China	24.479834	118.089425	36
Tegucigalpa	Honduras	14.072275	-87.192136	36
